i_r,i_s,xi_r,xi_s,moment_weight
0,0,-0.906179845938664,-0.906179845938664,-0.003590031685571776
0,1,-0.906179845938664,-0.5384693101056831,0.03215410356076801
0,2,-0.906179845938664,0.0,0.1318886101944909
0,3,-0.906179845938664,0.5384693101056831,0.032154103560768206
0,4,-0.906179845938664,0.906179845938664,-0.0035900316855717834
1,0,-0.5384693101056831,-0.906179845938664,0.03215410356076785
1,1,-0.5384693101056831,-0.5384693101056831,0.23578705215134577
1,2,-0.5384693101056831,0.0,0.28289340748890424
1,3,-0.5384693101056831,0.5384693101056831,0.23578705215134635
1,4,-0.5384693101056831,0.906179845938664,0.03215410356076797
2,0,0.0,-0.906179845938664,0.13188861019448742
2,1,0.0,-0.5384693101056831,0.2828934074888982
2,2,0.0,0.0,0.29611398188020316
2,3,0.0,0.5384693101056831,0.282893407488897
2,4,0.0,0.906179845938664,0.13188861019448753
3,0,0.5384693101056831,-0.906179845938664,0.03215410356076939
3,1,0.5384693101056831,-0.5384693101056831,0.23578705215133935
3,2,0.5384693101056831,0.0,0.2828934074888947
3,3,0.5384693101056831,0.5384693101056831,0.23578705215133955
3,4,0.5384693101056831,0.906179845938664,0.032154103560769455
4,0,0.906179845938664,-0.906179845938664,-0.003590031685571675
4,1,0.906179845938664,-0.5384693101056831,0.03215410356076933
4,2,0.906179845938664,0.0,0.13188861019448664
4,3,0.906179845938664,0.5384693101056831,0.03215410356076931
4,4,0.906179845938664,0.906179845938664,-0.003590031685571674
